Recourse_Method,Dataset,ML_Model,L0_distance,L1_distance,L2_distance,Linf_distance,Constraint_Violation,Redundancy,y-Nearest-Neighbours,Success_Rate,Average_Time
cchvae,credit,linear,10.0,1.6098242432869738,1.1558973530904513,1.0,0.0,9.0,,,
cchvae,credit,linear,9.0,0.3385061790062729,0.04772219016812651,0.15960921347141266,0.0,8.0,,,
cchvae,credit,linear,11.0,3.9435149537323984,2.7605651177010744,1.0,0.0,9.0,,,
cchvae,credit,linear,10.0,1.2244022194353998,1.0285326812163291,1.0,0.0,9.0,,,
cchvae,credit,linear,10.0,1.3761478105595684,1.0573278088592646,1.0,0.0,9.0,,,
cchvae,credit,linear,10.0,1.1623921776218091,1.0084160367422352,1.0,0.0,9.0,,,
cchvae,credit,linear,8.0,1.3196958345348409,1.0441024146327875,1.0,0.0,9.0,,,
cchvae,credit,linear,10.0,2.7714480279957123,1.7083486304921298,1.0,0.0,10.0,,,
cchvae,credit,linear,11.0,3.6473762651181056,2.6785767722421507,1.0,0.0,11.0,,,
cchvae,german,linear,,,,,,,,0.0,4.35334881
cchvae,mortgage,linear,,,,,,,,0.0,5.624543175
cchvae,twomoon,linear,,,,,,,,0.0,6.800789355000001
cchvae,breast_cancer,linear,,,,,,,,0.0,2.2058724300000003
cem,adult,linear,2.0,0.9510495434243618,0.7741505244011292,0.8767123287671232,1.0,3.0,0.08999999999999997,1.0,1.51405522
cem,adult,linear,6.0,1.7967100426749956,1.151582975830792,1.0,1.0,7.0,,,
cem,adult,linear,7.0,2.6119269543347956,2.1002279782251687,1.0,1.0,7.0,,,
cem,adult,linear,4.0,1.3526563116167143,0.5500172171766896,0.5,1.0,5.0,,,
cem,adult,linear,3.0,1.3764725075842517,1.0879212691161235,1.0,1.0,4.0,,,
cem,adult,linear,6.0,1.130784061762857,0.3113100823286109,0.3919495344161987,0.0,9.0,,,
cem,adult,linear,5.0,1.5068363981407027,0.7016556214215386,0.6438356164383562,1.0,5.0,,,
cem,adult,linear,6.0,1.0745179836675156,0.2560955355342232,0.3226630687713623,1.0,8.0,,,
cem,adult,linear,5.0,1.4372691647713831,1.058748578243856,1.0,1.0,6.0,,,
cem,adult,linear,4.0,0.7489031631719276,0.24846688225769314,0.3835616438356164,1.0,6.0,,,
