Recourse_Method,Dataset,ML_Model,L0_distance,L1_distance,L2_distance,Linf_distance,Constraint_Violation,Redundancy,y-Nearest-Neighbours,Success_Rate,Average_Time
cem,german,linear,3.0,0.6138439528997469,0.1379604456118398,0.25,1.0,2.0,,,
cem,german,linear,3.0,1.068170731481764,0.4672413321539006,0.4821428571428572,1.0,2.0,,,
cem,german,linear,3.0,0.7731382582745874,0.2284984030963447,0.375,1.0,2.0,,,
cem,german,linear,3.0,0.6601625463655254,0.1624716089665212,0.2941176470588235,1.0,2.0,,,
cem,german,linear,3.0,1.2269652000780504,0.7255003274347561,0.7857142857142857,1.0,2.0,,,
cem,german,linear,3.0,0.8491114834841167,0.5193678994617562,0.7142857142857143,1.0,2.0,,,
cem,mortgage,linear,,,,,,,,0.0,1.7085736800000006
cem,twomoon,linear,2.0,0.8837308673647641,0.5965249966990713,0.7628287288832758,0.0,1.0,1.0,1.0,1.3745658899999966
cem,twomoon,linear,2.0,0.9127432622556788,0.6980305683362517,0.8315252242998109,0.0,1.0,,,
cem,twomoon,linear,2.0,1.012163556255839,0.8018203947419003,0.8865964706403551,0.0,1.0,,,
cem,twomoon,linear,2.0,0.9686783870888324,0.7159336260592825,0.8355974441612319,0.0,1.0,,,
cem,twomoon,linear,2.0,0.7863899961827292,0.4496925487092833,0.6582307840346471,0.0,1.0,,,
cem,twomoon,linear,2.0,0.851417666331969,0.5347738472360662,0.7192372184756323,0.0,1.0,,,
cem,twomoon,linear,2.0,0.645771937502335,0.2839755802119099,0.5171343697473534,0.0,1.0,,,
cem,twomoon,linear,2.0,0.9520052101162902,0.7249894522040774,0.8446708110101884,0.0,1.0,,,
cem,twomoon,linear,2.0,0.5860443081475644,0.2276687582944395,0.4602716574188756,0.0,1.0,,,
cem,twomoon,linear,2.0,0.9902057032214018,0.7485288624137183,0.8544600520865108,0.0,1.0,,,
cem,twomoon,linear,2.0,0.6154925026204311,0.2553641932312863,0.4893346359061274,0.0,2.0,,,
cem,twomoon,linear,2.0,0.6457820819134469,0.2846615924640556,0.5180119570623817,0.0,1.0,,,
cem,twomoon,linear,1.0,0.7681319865726262,0.5900267247208143,0.7681319709013641,0.0,1.0,,,
cem,twomoon,linear,2.0,0.6550978699200535,0.2928398463387621,0.5253660686363927,0.0,2.0,,,
cem,twomoon,linear,1.0,0.7220195936466738,0.5213122917239018,0.7220195923407493,0.0,1.0,,,
cem,twomoon,linear,1.0,0.725453940713398,0.5262834039186766,0.7254539295631918,0.0,1.0,,,
cem,twomoon,linear,2.0,0.8870170192774787,0.7146147318044835,0.8442672497558652,0.0,1.0,,,
cem,twomoon,linear,2.0,0.8190881859931537,0.4883535091785685,0.6860407303737708,0.0,1.0,,,
cem,twomoon,linear,2.0,1.016268215720647,0.7937976010513288,0.8805566218879498,0.0,1.0,,,
cem,twomoon,linear,2.0,0.8621320371955199,0.5617629691337676,0.7393898291884431,0.0,1.0,,,
cem,breast_cancer,linear,3.0,0.8669883229561111,0.3214476394690562,0.4168443496801705,0.0,28.0,0.12,1.0,0.923239995
